1,"Gli atti e i documenti del fascicolo
telematico non devono essere nuovamente
depositati nelle fasi successive del giudizio
o nei suoi ulteriori gradi. In tal senso:","Dispone l'art. 25-bis del d.lgs. del 31 dicembre
1992 n. 546.","Dispone l'art. 25-bis del d.lgs. del 31 dicembre
1992 n. 545.","Non dispone alcuna norma del d.lgs. del 31
dicembre 1992 n. 546.","Non dispone alcuna norma del d.lgs. del 31
dicembre 1992 n. 545."
173,"Dopo la conciliazione in udienza l'estinzione
del giudizio per cessazione della materia del
contendere è dichiarata:",Con sentenza.,Con decreto.,Con decreto motivato.,Con ordinanza interlocutoria.
174,"Nel caso di perfezionamento della
conciliazione proposta dalla corte di
giustizia tributaria:","Il giudice dichiara con sentenza l'estinzione del
giudizio per cessazione della materia del
contendere.","Il giudice dichiara con ordinanza l'estinzione del
giudizio per cessazione della materia del
contendere.","Il giudice dichiara con ordinanza la sospensione
temporanea del giudizio.","Il giudice dichiara con sentenza la sospensione
temporanea del giudizio."
175,"Quale norma del d.lgs. del 31 dicembre
1992 n. 546 disciplina la costituzione in
giudizio della parte resistente?","L'art. 23 del d.lgs. del 31 dicembre 1992 n.
546.",L'art. 2 del d.lgs. del 31 dicembre 1992 n. 546.,L'art. 1 del d.lgs. del 31 dicembre 1992 n. 546.,L'art. 7 del d.lgs. del 31 dicembre 1992 n. 546.
176,"In caso di eccezionale urgenza, la
provvisoria sospensione dell'esecuzione
dell'atto impugnato fino alla pronuncia del
collegio o del giudice monocratico:",È disposta con decreto motivato.,È disposta con ordinanza.,È disposta con sentenza.,"È disposta con sentenza che statuisce su una
domanda specifica e definisce parzialmente la
controversia."
177,"Ai sensi dell'art. 47 del d.lgs. del 31
dicembre 1992 n. 546:","Il ricorrente, se dall'atto impugnato può
derivargli un danno grave ed irreparabile, può
chiedere alla Corte di giustizia tributaria di
primo o di secondo grado presso la quale è
pendente il giudizio la sospensione
dell'esecuzione dell'atto stesso con istanza
motivata proposta nel ricorso o con atto
separato notificata alle altre parti e depositato
in segreteria sempre che siano osservate le
disposizioni di cui all'art. 22 del d.lgs. del 31
dicembre 1992 n. 546.","Il ricorrente, se dall'atto impugnato può
derivargli un danno grave ed irreparabile, può
chiedere alla Corte di giustizia tributaria di
primo o di secondo grado presso la quale è
pendente il giudizio la sospensione
dell'esecuzione dell'atto stesso, purché con
istanza motivata proposta nel ricorso e non con
atto separato, notificata alle altre parti e
depositato in segreteria sempre che siano
osservate le disposizioni di cui all'art. 32 del
d.lgs. del 31 dicembre 1992 n. 546.","Il ricorrente, se dall'atto impugnato può
derivargli un danno grave ed irreparabile, può
chiedere alla Corte di giustizia tributaria di
primo o di secondo grado presso la quale è
pendente il giudizio la sospensione
dell'esecuzione dell'atto stesso, purché con
istanza motivata proposta nel ricorso e non con
atto separato, notificata alle altre parti e
depositato in segreteria sempre che siano
osservate le disposizioni di cui all'art. 23 del
d.lgs. del 31 dicembre 1992 n. 546.","Il ricorrente, se dall'atto impugnato può
derivargli un danno grave ed irreparabile, può
chiedere alla Corte di giustizia tributaria di
primo o di secondo grado presso la quale è
pendente il giudizio la sospensione
dell'esecuzione dell'atto stesso, purché con
istanza motivata proposta nel ricorso e non con
atto separato, notificata alle altre parti e
depositato in segreteria sempre che siano
osservate le disposizioni di cui all'art. 33 del
d.lgs. del 31 dicembre 1992 n. 546."
178,Selezionare l'affermazione corretta:,"Al di fuori dei casi previsti al comma 1 dell'art.
59 del d.lgs. del 31 dicembre 1992 n. 546, la
Corte di giustizia tributaria di secondo grado
decide nel merito previamente ordinando, ove
occorra, la rinnovazione di atti nulli compiuti
in primo grado.","Al di fuori dei casi previsti al comma 2 dell'art.
59 del d.lgs. del 31 dicembre 1992 n. 545, la
Corte di giustizia tributaria di secondo grado
decide nel merito previamente ordinando, ove
occorra, la rinnovazione di atti nulli compiuti in
primo grado.","Al di fuori dei casi previsti al comma 1 dell'art.
59 del d.lgs. del 31 dicembre 1992 n.545, la
Corte di giustizia tributaria di secondo grado
decide nel merito previamente ordinando, ove
occorra, la rinnovazione di atti annullabili
compiuti in secondo grado.","Al di fuori dei casi previsti al comma 2 dell'art.
19 del d.lgs. del 31 dicembre 1992 n. 546, la
Corte di giustizia tributaria di secondo grado
decide nel merito previamente ordinando, ove
occorra, la rinnovazione di atti annullabili
compiuti in secondo grado."
179,"Ai sensi dell'art. 24 del d.lgs. del 31
dicembre 1992 n. 546:","I documenti devono essere elencati negli atti di
parte cui sono allegati ovvero, se prodotti
separatamente, in apposita nota sottoscritta da
depositare in originale ed in numero di copie in
carta semplice pari a quello delle altre parti.","I documenti non devono essere elencati negli
atti di parte cui sono allegati ovvero, se prodotti
separatamente, in apposita nota sottoscritta da
depositare in originale ed in fotocopia in
numero di copie in carta semplice pari a quello
delle altre parti.","I documenti devono essere elencati negli atti di
parte cui sono allegati ovvero, se prodotti
separatamente, in apposita nota sottoscritta da
depositare in originale ed in numero di copie in
carta semplice pari al doppio delle altre parti.","I documenti devono essere elencati negli atti di
parte cui sono allegati ovvero, se prodotti
separatamente, in apposita nota sottoscritta da
depositare in originale ed in fotocopia in
numero di copie in carta bollata pari a quello
delle altre parti."
180,"Le Corti di giustizia tributaria di primo
grado decidono in composizione
monocratica le controversie di valore fino:",A 5.000 Euro.,A 20.000 Euro.,A 30.000 Euro.,A 50.000 Euro.
181,"Tra gli elementi della sentenza emanata dal
giudice tributario:","Vi sono le richieste delle parti nonché la
succinta esposizione dei motivi in fatto e
diritto di accoglimento o di rigetto, relativi alle
questioni di merito ed alle questioni attinenti ai
vizi di annullabilità o di nullità dell'atto.","V'è la succinta esposizione dei motivi in fatto e
diritto di accoglimento o di rigetto, relativi alle
questioni di merito ed alle questioni attinenti ai
vizi di annullabilità o di nullità dell'atto. Non vi
sono le richieste delle parti.","Vi sono le richieste delle parti nonché la
esaustiva, e non succinta, esposizione dei
motivi in fatto e diritto di accoglimento o di
rigetto, relativi alle questioni di merito ed alle
questioni attinenti ai vizi di annullabilità o di
nullità dell'atto.","Vi sono le richieste delle parti nonché la
esaustiva, e non succinta, esposizione dei
motivi in fatto e diritto di accoglimento o di
rigetto."
182,Selezionare l'affermazione corretta:,"L'accordo di cui al comma 1 dell'art. 48 del
d.lgs. del 31 dicembre 1992 n. 546 costituisce
titolo per la riscossione delle somme dovute
all'ente impositore e per il pagamento delle
somme dovute al contribuente.","L'accordo di cui al comma 1 dell'art. 57 del
d.lgs. del 31 dicembre 1992 n. 546 costituisce
titolo per la riscossione delle somme dovute
all'ente impositore e per il pagamento delle
somme dovute al contribuente.","L'accordo di cui al comma 4 dell'art. 59 del
d.lgs. del 31 dicembre 1992 n. 546 costituisce
titolo per la riscossione delle somme dovute
all'ente impositore e per il pagamento delle
somme dovute al contribuente.","L'accordo, di cui al comma 3 dell'art. 69 del
d.lgs. del 31 dicembre 1992 n. 546 costituisce
titolo per la riscossione delle somme dovute
all'ente impositore e per il pagamento delle
somme dovute al contribuente."
183,La conciliazione in udienza:,"Si perfeziona con la redazione del processo
verbale nel quale sono indicate le somme
dovute con i termini e le modalità di
pagamento. Il processo verbale costituisce
titolo per la riscossione delle somme dovute
all'ente impositore e per il pagamento delle
somme dovute al contribuente.","Si perfeziona con il pagamento delle somme
definite in sede conciliativa.","Si perfeziona con la redazione del processo
verbale nel quale sono indicate le somme
dovute con i termini e le modalità di
pagamento. Il processo verbale non costituisce
titolo per la riscossione delle somme dovute
all'ente impositore e per il pagamento delle
somme dovute al contribuente.","Si perfeziona con il pagamento delle somme
definite in sede conciliativa. Il processo verbale
nel quale sono indicate le somme dovute con i
termini e le modalità di pagamento non
costituisce titolo per la riscossione delle somme
dovute all'ente impositore e per il pagamento
delle somme dovute al contribuente."
184,"Quale norma del d.lgs. del 31 dicembre
1992 n. 546 si occupa di definire le
modalità di assegnazione del ricorso ad una
delle sezioni della Corte di giustizia
tributaria?","L'art. 26 del d.lgs. del 31 dicembre 1992 n.
546.",L'art. 2 del d.lgs. del 31 dicembre 1992 n. 546.,"L'art. 41 del d.lgs. del 31 dicembre 1992 n.
546.",L'art. 39 del d.lgs. del 31 dicembre 1992 n. 546.
185,"Il ricorso per la revocazione deve contenere
gli elementi previsti:","Dall'art. 53, comma 1, del d.lgs. del 31
dicembre 1992 n. 546.","Dall'art. 53, comma 4, del d.lgs. del 31
dicembre 1992 n. 545.","Dall'art. 53, comma 5, del d.lgs. del 31
dicembre 1992 n. 545","Dall'art. 3, comma 2, del d.lgs. del 31 dicembre
1992 n. 546."
186,Nell'ambito del ricorso per revocazione:,"Le parti possono proporre istanze cautelari ai
sensi delle disposizioni di cui agli articoli 47 e
52 del d.lgs. del 31 dicembre 1992 n. 546, in
quanto compatibili.","Le parti possono proporre istanze cautelari ai
sensi delle disposizioni di cui agli articoli 48 e
52 del d.lgs. del 31 dicembre 1992 n. 545, in
quanto compatibili.","Le parti possono proporre istanze cautelari ai
sensi delle disposizioni di cui agli articoli 48 e
51 del d.lgs. del 31 dicembre 1992 n. 545, in
quanto compatibili.","Le parti possono proporre istanze cautelari ai
sensi delle disposizioni di cui agli articoli 67 e
71 del d.lgs. del 31 dicembre 1992 n. 546, in
quanto compatibili."
187,"Ai sensi dell'art. 7 del d.lgs. del 31 dicembre
del 1992 n. 546:","In deroga all'articolo 103-bis delle disposizioni
di attuazione del codice di procedura civile, se
il testimone è in possesso di firma digitale, il
difensore della parte che lo ha citato deposita
telematicamente il modulo di deposizione
trasmessogli dal testimone dopo che lo stesso
lo ha compilato e sottoscritto in ogni sua parte
con firma digitale apposta in base a un
certificato di firma qualificato la cui validità
non è scaduta ovvero che non è stato revocato
o sospeso al momento della sottoscrizione.","In deroga all'articolo 103-bis d.lgs. del 31
dicembre del 1992 n. 546, se il testimone è in
possesso di firma digitale, il difensore della
parte che lo ha citato deposita telematicamente
il modulo di deposizione trasmessogli dal
testimone dopo che lo stesso lo ha compilato e
sottoscritto in ogni sua parte con firma digitale
apposta in base a un certificato di firma
qualificato la cui validità non è scaduta ovvero
che non è stato revocato o sospeso al momento
della sottoscrizione.","In deroga all'articolo 103-bis d.lgs. del 31
dicembre del 1992 n. 545, se il testimone è in
possesso di firma digitale, il difensore della
parte che lo ha citato deposita telematicamente
il modulo di deposizione trasmessogli dal
testimone dopo che lo stesso lo ha compilato e
sottoscritto in ogni sua parte con firma digitale
apposta in base a un certificato di firma
qualificato la cui validità non è scaduta ovvero
che non è stato revocato o sospeso al momento
della sottoscrizione.","In deroga all'articolo 103-bis d.lgs. del 20 luglio
del 2023 n. 576, se il testimone è in possesso di
firma digitale, il difensore della parte che lo ha
citato deposita telematicamente il modulo di
deposizione trasmessogli dal testimone dopo
che lo stesso lo ha compilato e sottoscritto in
ogni sua parte con firma digitale apposta in
base a un certificato di firma qualificato la cui
validità non è scaduta ovvero che non è stato
revocato o sospeso al momento della
sottoscrizione."
188,Seleziona l'affermazione corretta:,"Il ricorso deve contenere l'indicazione
dell'ufficio nei cui confronti il ricorso è
proposto, dell'atto impugnato e dell'oggetto
della domanda e dei motivi.","Il ricorso deve contenere l'indicazione
dell'ufficio nei cui confronti il ricorso è
proposto, dell'atto impugnato o dell'oggetto
della domanda e dei motivi.","Il ricorso deve contenere l'indicazione
dell'ufficio nei cui confronti il ricorso è
proposto, dell'atto impugnato e dell'oggetto
della domanda o dei motivi.","Il ricorso deve contenere l'indicazione
dell'ufficio nei cui confronti il ricorso è
proposto e dell'atto impugnato o dell'oggetto
della domanda o dei motivi."
189,"Ai sensi dell'art. 48-ter del d.lgs. del 31
dicembre 1992 n. 546:","Le sanzioni amministrative si applicano nella
misura del cinquanta per cento del minimo
previsto dalla legge, in caso di
perfezionamento della conciliazione nel corso
del secondo grado di giudizio.","Le sanzioni amministrative si applicano nella
misura del dieci per cento del minimo previsto
dalla legge, in caso di perfezionamento della
conciliazione nel corso del secondo grado di
giudizio.","Le sanzioni amministrative si applicano nella
misura del cento per cento del minimo previsto
dalla legge, in caso di perfezionamento della
conciliazione nel corso del secondo grado di
giudizio.","Le sanzioni amministrative si applicano nella
misura del venti per cento del minimo previsto
dalla legge, in caso di perfezionamento della
conciliazione nel corso del secondo grado di
giudizio."
190,Nell'ambito del giudizio di rinvio:,"Le parti conservano la stessa posizione
processuale che avevano nel procedimento in
cui è stata pronunciata la sentenza cassata e
non possono formulare richieste diverse da
quelle prese in tale procedimento, salvi gli
adeguamenti imposti dalla sentenza di
cassazione.","Le parti conservano la stessa posizione
processuale che avevano nel procedimento in
cui è stata pronunciata la sentenza cassata e
possono formulare richieste diverse da quelle
prese in tale procedimento.","Le parti acquistano una nuova posizione
processuale rispetto a quella che avevano nel
procedimento in cui è stata pronunciata la
sentenza cassata. Le parti non possono
formulare richieste diverse da quelle prese in
tale procedimento, salvi gli adeguamenti
imposti dalla sentenza di cassazione.","Le parti acquistano una nuova posizione
processuale rispetto a quella che avevano nel
procedimento in cui è stata pronunciata la
sentenza cassata. Le parti possono altresì
formulare richieste diverse da quelle prese in
tale procedimento, inclusi gli adeguamenti
imposti dalla sentenza di cassazione."
191,"Quando ne ricorrono i motivi la
deliberazione in camera di consiglio può
essere rinviata:",Di non oltre trenta giorni.,Di non oltre novanta giorni.,Di non oltre centottanta giorni.,Di non oltre sessanta giorni.
192,"Quando non sussiste la giurisdizione delle
Corti di giustizia tributaria, la sanzione è
riscossa provvisoriamente dopo la decisione
dell'organo al quale è proposto ricorso
amministrativo:","Nei limiti della metà dell'ammontare da questo
stabilito. Così statuisce l'art. 19 del d.lgs. del
18 dicembre 1997 n. 472.","Per il valore totale dell'ammontare da questo
stabilito. Così statuisce l'art. 19 del d.lgs. del 18
dicembre 1997 n. 472.","Per un terzo dell'ammontare da questo stabilito.
Così statuisce l'art. 19 del d.lgs. del 18
dicembre 1997 n. 472.","Per un quarto dell'ammontare da questo
stabilito. Così statuisce l'art. 19 del d.lgs. del 18
dicembre 1997 n. 472."
193,Nel caso di conciliazione fuori udienza:,"Se la data di trattazione non è fissata, provvede
con decreto il presidente della sezione.","Se la data di trattazione non è fissata, provvede
con ordinanza il presidente della sezione.","Se la data di trattazione non è fissata, provvede
con decreto il presidente della Corte di giustizia
tributaria.","Se la data di trattazione non è fissata, provvede
con ordinanza il presidente della Corte di
giustizia tributaria."
194,"A quale tasso si applicano gli interessi
durante il periodo di sospensione cautelare?","Al tasso previsto per la sospensione
amministrativa.","Al tasso previsto, nei limiti di legge, dal
Presidente della Corte di giustizia tributaria.","Al tasso previsto, nei limiti di legge, dal
Presidente della sezione alla quale è stata
assegnata la trattazione.","Al tasso previsto, nei limiti di legge, dal
Garante nazionale del contribuente."
195,Seleziona l'affermazione corretta:,"La mancata notificazione di atti
autonomamente impugnabili, adottati
precedentemente all'atto notificato, ne consente
l'impugnazione unitamente a quest'ultimo.","La mancata notificazione di atti non
autonomamente impugnabili, adottati
precedentemente all'atto notificato, non ne
consente in ogni caso l'impugnazione
unitamente a quest'ultimo.","La mancata notificazione di atti
autonomamente impugnabili, adottati
precedentemente all'atto notificato, ne
pregiudica l'impugnazione unitamente a
quest'ultimo.","La notificazione di atti autonomamente
impugnabili, adottati precedentemente all'atto
notificato, ne pregiudica l'impugnazione
unitamente a quest'ultimo."
196,"L'inammissibilità del ricorso è rilevabile
d'ufficio in ogni stato e grado del giudizio,
anche se la parte resistente si costituisce a
norma dell'art. 23 del d.lgs. del 31 dicembre
1992 n. 546:","Così dispone l'art. 22 del d.lgs. del 31
dicembre 1992 n. 546.",Così dispone l'art. 28 del d.lgs. del 31 dicembre,"Così dispone l'art. 26 del d.lgs. del 31 dicembre
1992 n. 545.","Così dispone l'art. 27 del d.lgs. del 31 dicembre
1992 n. 546."
,,,1992 n. 545.,,
197,"Ai sensi dell'art. 21 del d.lgs. del 31
dicembre 1992 n. 546:","La notificazione della cartella di pagamento
vale anche come notificazione del ruolo.",La notificazione della cartella di pagamento non,"La notificazione della cartella di pagamento
vale anche come notificazione del ruolo ovvero,
alternativamente, come avviso di messa in
mora.","La notificazione della cartella di pagamento non
vale come notificazione del ruolo ma come
avviso di liquidazione."
,,,vale come notificazione del ruolo ma come,,
,,,avviso di messa in mora.,,
198,"Ai sensi dell'art. 28 del d.lgs. del 31
dicembre 1992 n. 546, fuori dai casi
dell'inammissibilità del ricorso o
dell'estinzione del processo:","La Corte di giustizia tributaria pronuncia
ordinanza non impugnabile nella quale sono
dati i provvedimenti per la prosecuzione del
processo.","La Corte di giustizia tributaria pronuncia
ordinanza impugnabile nella quale sono dati i
provvedimenti per la prosecuzione del
processo.","La Corte di giustizia tributaria pronuncia
decreto non impugnabile nella quale sono dati i
provvedimenti per la prosecuzione del
processo.","La Corte di giustizia tributaria pronuncia
sentenza non impugnabile nella quale sono dati
i provvedimenti per la prosecuzione del
processo."
199,"L'art. 62-bis del d.lgs. del 31 dicembre 1992
n. 546 si occupa di disciplinare i
provvedimenti sull'esecuzione provvisoria
della sentenza impugnata per cassazione. A
tal riguardo la norma prevede che:","In caso di eccezionale urgenza il presidente
può disporre con decreto motivato la
sospensione dell'esecutività della sentenza fino
alla pronuncia del collegio. Il collegio, sentite
le parti in camera di consiglio, provvede con
ordinanza motivata non impugnabile.",In caso di eccezionale urgenza il presidente può,"In caso di eccezionale urgenza il presidente può
disporre con decreto motivato la sospensione
dell'esecutività della sentenza fino alla
pronuncia del collegio. Il collegio, sentite le
parti in camera di consiglio, provvede con
sentenza non impugnabile.","In caso di eccezionale urgenza il presidente può
disporre con ordinanza la sospensione
dell'esecutività della sentenza fino alla
pronuncia del collegio. Il collegio, sentite le
parti in pubblica udienza, provvede con
ordinanza motivata non impugnabile."
,,,disporre con ordinanza la sospensione,,
,,,dell'esecutività della sentenza fino alla,,
,,,"pronuncia del collegio. Il collegio, sentite le",,
,,,"parti in camera di consiglio, provvede con",,
,,,ordinanza motivata non impugnabile.,,
,Quando ne ricorrono i motivi la,Dall'art. 35 del d.lgs. del 31 dicembre 1992 n.,Dall'art. 43 del d.lgs. del 31 dicembre 1992 n.,Dall'art. 47 del d.lgs. del 31 dicembre 1992,Dall'art. 5 del d.lgs. del 31 dicembre 1992 n.
200,deliberazione in camera di consiglio può,546.,545,n.545,546.
,essere rinviata non oltre il termine previsto:,,,,
201,"Le forme richieste per la proposizione del
ricorso in appello nel processo tributario:","Sono quelle di cui all'art. 20, commi 1 e 2 del
d.lgs. del 31 dicembre 1992 n. 546.","Sono quelle di cui all'art. 22, commi 1 e 4 del","Sono quelle di cui all'art. 21, commi 1 e 3 del
d.lgs. del 31 dicembre 1992 n.545.","Sono quelle di cui all'art. 3, commi 2 e 3 del
d.lgs. del 31 dicembre 1992 n. 546."
,,,d.lgs. del 31 dicembre 1992 n. 545.,,
202,"Ai sensi dell'art. 17 del d.lgs. del 31
dicembre del 1992 n. 546, in relazione al
luogo delle comunicazioni e delle
notificazioni:","Le variazioni del domicilio o della residenza o
della sede hanno effetto dal decimo giorno
successivo a quello in cui sia stata notificata
alla segreteria della Corte di giustizia tributaria
e alle parti costituite la denuncia di variazione.",Le variazioni del domicilio o della residenza o,"Le variazioni del domicilio o della residenza o
della sede hanno effetto dal sessantesimo
giorno successivo a quello in cui sia stata
notificata alla segreteria della Corte di giustizia
tributaria e alle parti costituite la denuncia di
variazione.","Le variazioni del domicilio o della residenza o
della sede hanno effetto dal centottantesimo
giorno successivo a quello in cui sia stata
notificata alla segreteria della Corte di giustizia
tributaria e alle parti costituite la denuncia di
variazione."
,,,della sede non hanno effetto dal quindicesimo,,
,,,giorno successivo a quello in cui sia stata,,
,,,notificata alla segreteria della Corte di giustizia,,
,,,tributaria e alle parti costituite la denuncia di,,
,,,variazione.,,
203,"Ai sensi dell'art. 22 del d.lgs. del 31
dicembre 1992 n. 546:","Unitamente al ricorso ed ai documenti previsti
al comma 1 dell'art. 22 del d.lgs. del 31
dicembre 1992 n. 546, il ricorrente deposita il
proprio fascicolo, con l'originale o la fotocopia
dell'atto impugnato, se notificato, ed i
documenti che produce, in originale o
fotocopia.",Unitamente al ricorso ed ai documenti previsti,"Unitamente al ricorso ed ai documenti previsti
al comma 2 dell'art. 4 del d.lgs. del 31
dicembre 1992 n. 546, il ricorrente deposita il
proprio fascicolo, con l'originale e la fotocopia
dell'atto impugnato, se notificato, ed i
documenti che produce, in originale o
fotocopia.","Unitamente al ricorso ed ai documenti previsti
al comma 2 dell'art. 61 del d.lgs. del 31
dicembre 1992 n. 546, il ricorrente deposita il
proprio fascicolo, con l'originale e la fotocopia
dell'atto impugnato, se notificato, ed i
documenti che produce, in originale e
fotocopia."
,,,al comma 1 dell'art. 2 del d.lgs. del 31 dicembre,,
,,,"1992 n. 546, il ricorrente deposita il proprio",,
,,,"fascicolo, con l'originale o la fotocopia dell'atto",,
,,,"impugnato, se notificato, ed i documenti che",,
,,,"produce, in originale o fotocopia.",,
204,Selezionare l'affermazione corretta:,"Avverso la sentenza della Corte di giustizia
tributaria di secondo grado può essere proposto
ricorso per cassazione per i motivi di cui ai
numeri da 1 a 5 dell'art. 360, primo comma,
del codice di procedura civile.",Avverso la sentenza della Corte di giustizia,"Avverso la sentenza della Corte di giustizia
tributaria di secondo grado può essere proposto
ricorso per cassazione per i motivi di cui ai
numeri da 2 a 5 dell'art. 360, primo comma, del
codice di procedura civile.","Avverso la sentenza della Corte di giustizia
tributaria di secondo grado può essere proposto
ricorso per cassazione per i motivi di cui ai
numeri da 1 a 4 dell'art. 361, primo comma, del
codice di procedura civile."
,,,tributaria di secondo grado può essere proposto,,
,,,ricorso per cassazione per i motivi di cui ai,,
,,,"numeri da 1 a 5 dell'art. 371, primo comma, del",,
,,,codice di procedura civile.,,
205,"Non possono essere componenti dello stesso
collegio giudicante:","I coniugi, i conviventi, nonché i parenti ed
affini entro il quarto grado.",I coniugi e i conviventi.,I parenti ed affini entro il sesto grado.,"I coniugi, i conviventi, nonché i parenti ed
affini, a prescindere dal grado."
206,"Quando la Corte di cassazione rinvia la
causa alla Corte di giustizia tributaria di
primo o secondo grado la riassunzione deve
essere fatta:","Entro il termine perentorio di sei mesi dalla
pubblicazione della sentenza nelle forme
rispettivamente previste per i giudizi di primo
e di secondo grado in quanto applicabili.","Entro il termine perentorio di sessanta giorni
dalla pubblicazione della sentenza nelle forme
rispettivamente previste per i giudizi di primo e
di secondo grado in quanto applicabili.","Entro il termine perentorio di novanta giorni
dalla pubblicazione della sentenza nelle forme
rispettivamente previste per i giudizi di primo e
di secondo grado in quanto applicabili.","Entro il termine perentorio di tre mesi dalla
pubblicazione della sentenza nelle forme
rispettivamente previste per i giudizi di primo e
di secondo grado in quanto applicabili."
207,"Il pagamento delle somme dovute a seguito
della sentenza deve essere eseguito:","Entro novanta giorni dalla presentazione della
garanzia di cui al comma 2 dell'art. 69 del
d.lgs. del 31 dicembre 1992 n. 546.","Entro sessanta giorni dalla presentazione della
garanzia di cui al comma 2 dell'art. 69 del d.lgs.
del 31 dicembre 1992 n. 546.","Entro trenta giorni dalla presentazione della
garanzia di cui al comma 2 dell'art. 69 del d.lgs.
del 31 dicembre 1992 n. 546.","Entro sei mesi dalla presentazione della
garanzia di cui al comma 2 dell'art. 69 del d.lgs.
del 31 dicembre 1992 n. 546."
208,"Ai sensi dell'art. 14 del Decreto del
Ministero dell'Economia e delle Finanze del
23 dicembre 2013 n. 163:","Il fascicolo informatico sostituisce il fascicolo
d'ufficio di cui all'articolo 25 del decreto
legislativo 31 dicembre 1992, n. 546, a
condizione che contenga anche tutti gli atti e
documenti cartacei prodotti e acquisiti ai sensi
dell'articolo 12 del Decreto del Ministero
dell'Economia e delle Finanze del 23 dicembre
2013 n. 163.","Il fascicolo informatico non sostituisce il
fascicolo d'ufficio di cui all'articolo 25 del
decreto legislativo 31 dicembre 1992, n. 546,
anche nell'eventualità in cui contenga tutti gli
atti e documenti cartacei prodotti e acquisiti ai
sensi dell'articolo 12 del Decreto del Ministero
dell'Economia e delle Finanze del 23 dicembre
2013 n. 163.","Il fascicolo informatico sostituisce il fascicolo
d'ufficio di cui all'articolo 52 del decreto
legislativo 31 dicembre 1992, n. 546, a
condizione che contenga anche tutti gli atti e
documenti cartacei prodotti e acquisiti ai sensi
dell'articolo 21 del Decreto del Ministero
dell'Economia e delle Finanze del 23 dicembre
2013 n. 163.","Il fascicolo informatico sostituisce il fascicolo
d'ufficio di cui all'articolo 72 del decreto
legislativo 31 dicembre 1992, n. 546, a
condizione che contenga anche tutti gli atti e
documenti cartacei prodotti e acquisiti ai sensi
dell'articolo 24 del Decreto del Ministero
dell'Economia e delle Finanze del 23 dicembre
2013 n. 163."
209,La costituzione della parte resistente:,"È fatta mediante deposito presso la segreteria
della Corte di giustizia tributaria adita del
proprio fascicolo contenente le
controdeduzioni in tante copie quante sono le
parti in giudizio e i documenti offerti in
comunicazione.","È fatta mediante deposito presso la segreteria
della Corte di giustizia tributaria adita del
proprio fascicolo contenente le controdeduzioni
in tante copie, ma in ogni caso non superiori a
tre, quante sono le parti in giudizio e i
documenti offerti in comunicazione.","È fatta mediante deposito presso la segreteria
della Corte di giustizia tributaria adita del
proprio fascicolo contenente le controdeduzioni
in tante copie, ma in ogni caso non superiori a
quattro, quante sono le parti in giudizio e i
documenti offerti in comunicazione.","È fatta mediante deposito presso la segreteria
della Corte di giustizia tributaria adita del
proprio fascicolo contenente le controdeduzioni
in copia duplice."
210,"L'art. 5 del d.lgs. del 31 dicembre 1992 n.
546:","Si occupa dei profili di incompetenza delle
Corti di giustizia tributaria di primo e secondo
grado.","Si occupa delle ragioni di astensione e
ricusazione dei componenti delle Corti di
giustizia tributaria di primo e secondo grado.","Individua i poteri delle corti di giustizia
tributaria di primo e secondo grado.","Regola le spese di giudizio nel processo
tributario."
211,"Il collegio giudicante, se non v'è stata
discussione in pubblica udienza, subito
dopo l'esposizione del relatore delibera la
decisione in segreto nella camera di
consiglio e, al termine, dà lettura immediata
del dispositivo, salva la facoltà di riservarne
il deposito in segreteria e la sua contestuale
comunicazione ai difensori delle parti
costituite:","Entro il termine perentorio dei successivi sette
giorni.","Entro il termine perentorio dei successivi dieci
giorni.","Entro il termine ordinatorio dei successivi
quindici giorni.","Entro il termine ordinatorio dei successivi venti
giorni."
212,Nell'ambito del giudizio di ottemperanza:,"Il collegio, eseguiti i provvedimenti di cui al
comma 7 dell'art. 70 del d.lgs. del 31 dicembre
1992 n. 546 e preso atto di quelli emanati ed
eseguiti dal componente delegato o dal
commissario nominato, dichiara chiuso il
procedimento con ordinanza.","Il collegio, eseguiti i provvedimenti di cui al
comma 7 dell'art. 70 del d.lgs. del 31 dicembre
1992 n. 546 e preso atto di quelli emanati ed
eseguiti dal componente delegato o dal
commissario nominato, dichiara chiuso il
procedimento con sentenza.","Il collegio, eseguiti i provvedimenti di cui al
comma 7 dell'art. 70 del d.lgs. del 31 dicembre
1992 n. 546 e preso atto di quelli emanati ed
eseguiti dal componente delegato o dal
commissario nominato, dichiara chiuso il
procedimento con decreto.","Il collegio, eseguiti i provvedimenti di cui al
comma 7 dell'art. 70 del d.lgs. del 31 dicembre
1992 n. 546 e preso atto di quelli emanati ed
eseguiti dal componente delegato o dal
commissario nominato, dichiara chiuso il
procedimento con ordinanza interlocutoria."
